Test,Circuit,Phase 1,Phase 2,Phase 3
4,18,10,7,5
4,19,15,16,15
4,20,5,6,5
4,21,5,9,5
4,22,9,11,9
4,23,13,7,28
4,24,17,7,11
4,25,12,6,5
4,26,7,4,4
4,27,12,7,7
4,28,11,12,6
4,29,11,11,7
4,30,9,6,6
4,31,18,12,12
4,32,9,4,6
4,33,10,12,10
4,34,14,11,12
4,35,5,5,3
4,36,10,8,6
4,37,13,9,7
4,38,15,11,10
4,39,12,8,8
4,40,11,11,9
4,41,13,10,11
4,42,8,7,16
4,43,17,11,13
4,44,4,3,3
4,45,8,6,6
4,46,7,7,5
4,47,8,8,6
4,48,6,6,5
4,49,2,3,2
4,50,14,12,12
4,51,12,9,7
4,52,4,6,4
4,53,5,5,5
4,54,10,10,6
4,55,12,9,20
4,56,16,12,8
4,57,12,9,17
4,58,13,9,10
4,59,3,3,2
4,60,7,5,4
4,61,17,9,8
4,62,7,5,3
4,63,7,7,7
4,64,6,7,3
4,65,8,3,3
4,66,7,7,6
4,67,8,7,8
4,68,9,5,5
4,69,8,8,8
4,70,12,7,7
4,71,6,5,4
4,72,9,11,18
4,73,3,2,2
4,74,11,7,7
4,75,19,16,14
4,76,8,5,5
4,77,11,4,4
4,78,13,4,4
4,79,12,10,6
4,80,13,11,26
4,81,8,10,8
4,82,18,16,11
4,83,8,5,7
4,84,10,11,16
4,85,5,4,4
4,86,7,3,3
4,87,15,8,7
4,88,20,9,9
4,89,12,10,5
4,90,10,8,6
4,91,6,8,8
4,92,3,3,3
4,93,22,15,10
4,94,5,5,4
4,95,4,2,2
4,96,6,7,6
4,97,16,6,16
4,98,9,8,5
4,99,13,12,24
4,100,5,7,5
5,1,12,11,11
5,2,7,4,4
5,3,17,12,10
5,4,7,9,6
5,5,16,13,22
5,6,11,10,9
5,7,6,6,5
5,8,14,10,10
5,9,17,11,9
5,10,10,11,20
5,11,12,12,12
5,12,4,3,3
5,13,17,9,9
5,14,7,9,10
5,15,6,6,5
5,16,12,8,6
5,17,5,6,4
5,18,6,8,20
5,19,9,12,8
5,20,11,10,11
5,21,7,6,7
5,22,5,3,3
5,23,7,7,7
5,24,7,5,4
5,25,9,8,11
5,26,13,8,7
5,27,13,10,12
5,28,18,12,9
5,29,8,6,6
5,30,7,9,7
5,31,14,8,8
5,32,13,13,21
5,33,10,10,7
5,34,9,5,3
5,35,14,9,6
5,36,4,2,2
5,37,16,11,10
5,38,14,10,8
5,39,9,7,6
5,40,14,13,13
5,41,24,15,13
5,42,7,7,6
5,43,11,7,7
5,44,12,10,10
5,45,11,11,7
5,46,16,11,9
5,47,7,7,6
5,48,18,18,11
5,49,6,4,4
5,50,12,9,8
5,51,12,8,7
5,52,14,9,8
5,53,14,10,8
5,54,11,10,10
5,55,15,12,10
5,56,4,2,2
5,57,12,6,6
5,58,5,5,5
5,59,4,4,4
5,60,17,12,11
5,61,13,10,10
5,62,11,8,8
5,63,7,5,5
5,64,10,10,6
5,65,13,6,6
5,66,4,5,5
5,67,16,9,7
5,68,4,5,4
5,69,12,14,11
5,70,19,15,22
5,71,4,2,2
5,72,4,4,4
5,73,11,7,7
5,74,6,5,4
5,75,10,10,9
5,76,10,9,17
5,77,13,6,6
5,78,6,8,6
5,79,9,12,20
5,80,13,6,6
5,81,4,5,4
5,82,8,6,6
5,83,17,7,8
5,84,11,7,7
5,85,3,3,2
5,86,13,12,8
5,87,12,8,6
5,88,8,9,5
5,89,15,14,14
5,90,8,6,4
5,91,16,10,9
5,92,8,12,18
5,93,12,9,9
5,94,15,10,9
5,95,18,21,10
5,96,6,8,8
5,97,10,11,11
5,98,15,10,7
5,99,10,10,9
5,100,2,3,2
6,1,9,7,7
6,2,17,13,11
6,3,11,9,8
6,4,10,10,6
6,5,9,7,16
6,6,13,8,7
6,7,7,11,9
6,8,10,7,5
6,9,1,1,1
6,10,3,1,1
6,11,4,5,3
6,12,8,9,6
6,13,5,3,3
6,14,8,6,6
6,15,6,8,6
6,16,18,11,12
6,17,12,6,7
6,18,8,6,5
6,19,9,5,7
6,20,8,6,5
6,21,12,11,9
6,22,9,6,6
6,23,5,6,4
6,24,9,8,7
6,25,14,8,6
6,26,7,8,7
6,27,10,8,7
6,28,14,8,9
6,29,11,7,7
6,30,14,9,9
6,31,15,9,7
6,32,3,3,3
6,33,11,9,10
6,34,17,11,22
6,35,3,3,3
6,36,7,10,5
6,37,6,6,5
6,38,12,12,10
6,39,7,7,5
6,40,5,2,2
6,41,5,5,5
6,42,8,8,7
6,43,16,11,10
6,44,5,5,4
6,45,9,7,8
6,46,6,5,5
6,47,11,10,9
6,48,17,10,22
6,49,5,3,3
6,50,13,9,9
6,51,10,8,7
6,52,23,15,13
6,53,11,7,5
6,54,7,10,5
6,55,9,10,6
6,56,12,6,6
6,57,4,1,1
6,58,17,8,7
6,59,8,6,6
6,60,4,4,2
6,61,5,5,4
6,62,8,7,5
6,63,10,10,7
6,64,11,7,18
6,65,21,9,7
6,66,6,2,2
6,67,7,7,6
6,68,8,8,6
6,69,7,7,7
6,70,10,7,7
6,71,14,8,6
6,72,14,12,20
6,73,8,7,6
6,74,7,6,5
6,75,16,12,12
6,76,11,11,15
6,77,9,4,4
6,78,17,12,11
6,79,5,5,5
6,80,6,7,6
6,81,20,7,13
6,82,12,7,7
6,83,10,9,8
6,84,13,8,8
6,85,6,7,6
6,86,10,7,6
6,87,6,3,3
6,88,4,6,5
6,89,14,14,12
6,90,15,7,7
6,91,11,5,5
6,92,10,12,10
6,93,11,9,9
6,94,20,14,9
6,95,5,3,3
6,96,11,9,9
6,97,14,9,17
6,98,14,8,8
6,99,14,10,10
6,100,2,2,2
7,1,4,2,2
7,2,6,12,20
7,3,7,6,5
7,4,7,5,5
7,5,12,8,8
7,6,16,11,11
7,7,13,11,12
7,8,6,3,3
7,9,13,12,8
7,10,6,6,6
7,11,4,2,2
7,12,5,5,5
7,13,20,16,15
7,14,5,7,7
7,15,4,3,3
7,16,14,10,10
7,17,9,7,6
7,18,17,17,10
7,19,3,3,3
7,20,5,5,7
7,21,2,2,2
7,22,17,14,20
7,23,12,7,9
7,24,6,5,3
7,25,13,6,6
7,26,16,11,10
7,27,15,7,5
7,28,9,8,6
7,29,7,6,6
7,30,17,9,10
7,31,8,7,7
7,32,18,17,20
7,33,15,15,10
7,34,1,1,1
7,35,5,5,5
7,36,6,5,5
7,37,9,9,6
7,38,11,9,19
7,39,8,6,5
7,40,10,12,5
7,41,5,4,4
7,42,5,6,5
7,43,12,9,9
7,44,14,6,8
7,45,4,3,3
7,46,10,8,4
7,47,3,3,3
7,48,6,6,6
7,49,10,10,10
7,50,15,4,4
7,51,6,8,6
7,52,6,5,5
7,53,13,8,8
7,54,15,10,10
7,55,21,16,16
7,56,12,5,5
7,57,4,6,4
7,58,7,4,4
7,59,7,5,3
7,60,10,8,5
7,61,4,4,3
7,62,6,5,4
7,63,11,9,9
7,64,6,6,5
7,65,11,12,9
7,66,7,6,4
7,67,11,8,10
7,68,13,7,7
7,69,1,1,1
7,70,11,6,4
7,71,14,9,9
7,72,5,7,5
7,73,8,9,17
7,74,10,10,6
7,75,14,10,10
7,76,15,8,7
7,77,9,9,7
7,78,3,4,3
7,79,11,7,5
7,80,13,16,21
7,81,14,12,8
7,82,9,8,5
7,83,7,8,5
7,84,7,9,7
7,85,9,5,17
7,86,4,3,3
7,87,7,12,21
7,88,16,10,9
7,89,12,10,7
7,90,5,7,5
7,91,4,1,1
7,92,15,10,9
7,93,11,3,3
7,94,11,12,9
7,95,9,7,6
7,96,8,10,7
7,97,12,9,10
7,98,27,14,12
7,99,7,6,4
7,100,17,7,7
8,1,7,5,5
8,2,5,7,6
8,3,15,8,8
8,4,4,3,3
8,5,13,13,7
8,6,8,7,5
8,7,6,3,2
8,8,7,4,4
8,9,12,11,7
8,10,6,4,4
8,11,18,8,18
8,12,6,7,4
8,13,12,5,5
8,14,8,4,3
8,15,0,0,0
8,16,9,8,19
8,17,7,6,3
8,18,5,5,7
8,19,20,11,11
8,20,12,15,9
8,21,4,5,4
8,22,15,8,8
8,23,14,14,11
8,24,7,5,5
8,25,4,4,4
8,26,16,10,10
8,27,11,10,20
8,28,11,8,8
8,29,8,6,6
8,30,5,5,5
8,31,7,7,6
8,32,7,6,6
8,33,6,8,7
8,34,18,14,12
8,35,2,4,2
8,36,11,8,8
8,37,19,9,21
8,38,6,4,5
8,39,13,7,7
8,40,2,4,2
8,41,10,9,9
8,42,8,7,5
8,43,13,9,9
8,44,14,9,9
8,45,11,10,8
8,46,13,9,6
8,47,7,7,7
8,48,4,2,2
8,49,7,7,6
8,50,14,8,10
8,51,13,8,9
8,52,17,13,11
8,53,13,9,6
8,54,9,4,4
8,55,14,9,22
8,56,4,4,3
8,57,8,8,10
8,58,22,15,11
8,59,3,4,3
8,60,14,16,14
8,61,10,8,5
8,62,7,6,5
8,63,10,7,7
8,64,8,3,3
8,65,10,5,5
8,66,8,4,4
8,67,3,3,3
8,68,13,5,6
8,69,19,10,10
8,70,6,7,5
8,71,7,13,6
8,72,8,7,7
8,73,14,9,11
8,74,16,14,11
8,75,5,6,5
8,76,6,6,4
8,77,9,8,7
8,78,15,10,18
8,79,6,6,6
8,80,14,10,9
8,81,9,7,5
8,82,18,9,10
8,83,3,3,3
8,84,5,4,4
8,85,5,3,3
8,86,9,9,9
8,87,8,6,3
8,88,10,5,5
8,89,11,13,11
8,90,8,5,5
8,91,10,8,7
8,92,7,5,5
8,93,8,4,4
8,94,13,9,9
8,95,5,7,7
8,96,5,5,5
8,97,11,10,9
8,98,14,9,7
8,99,8,3,3
8,100,14,16,12
9,1,16,8,6
9,2,11,13,10
9,3,18,14,10
9,4,10,6,18
9,5,8,4,4
9,6,4,6,6
9,7,9,8,6
9,8,7,5,5
9,9,13,8,4
9,10,9,7,6
9,11,8,9,5
9,12,14,11,7
9,13,10,13,21
9,14,16,11,7
9,15,8,15,9
9,16,9,4,3
9,17,2,3,2
9,18,9,6,6
9,19,7,4,16
9,20,14,13,16
9,21,14,8,11
9,22,8,6,6
9,23,13,14,12
9,24,6,6,5
9,25,10,8,8
9,26,7,8,5
9,27,3,3,3
9,28,12,7,7
9,29,1,3,1
9,30,8,9,8
9,31,9,7,5
9,32,14,9,8
9,33,9,5,5
9,34,3,5,5
9,35,13,12,9
9,36,10,8,6
9,37,11,9,11
9,38,10,9,9
9,39,7,5,4
